Mix,Name,Formula,CAS number,inchikey,smiles,[M+H]+,[M+NH4]+,[M+Na]+,[M-H2O+H]+
3,Enoxolone,C30H46O4,471-53-4,MPDGHEJMBKOTSU-YKLVYJNSSA-N,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O,471.3469,488.3734,493.3288,453.3363
3,Koparin,C16H12O6,65048-75-1,SMOFGXHPWCTYQD-UHFFFAOYSA-N,COC1=C(C(=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O)O,301.0707,318.0972,323.0526,283.0601
3,4-O-Methylphloracetophenone,C9H10O4,7507-89-3,GKSGTWUNURZTKD-UHFFFAOYSA-N,CC(=O)C1=C(C=C(C=C1O)OC)O,183.0652,200.0917,205.0471,165.0546
3,3-Methoxycatechol,C7H8O3,934-00-9,LPYUENQFPVNPHY-UHFFFAOYSA-N,COC1=CC=CC(=C1O)O,141.0546,158.0812,163.0366,123.0441
3,Harmine,C13H12N2O,442-51-3,BXNJHAXVSOCGBA-UHFFFAOYSA-N,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,213.1022,230.1288,235.0842,195.0917
3,"2',4'-Dihydroxychalcone 4'-Glucoside",C21H22O8,No CAS#,SYDNPHFWTKACIZ-QXUFBKIYSA-N,C1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,403.1387,420.1653,425.1207,385.1282
3,12A-Hydroxy-9-Demethylmunduserone-8-Carboxylic Acid,C19H16O9,No CAS#,OCHPVPSALUKLOM-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC(=C4C(=O)O)O)O)OC,389.0867,406.1133,411.0687,371.0761
3,Aesculin,C15H16O9,531-75-9,XHCADAYNFIFUHF-TVKJYDDYSA-N,C1=CC(=O)OC2=CC(=C(C=C21)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,341.0867,358.1133,363.0687,323.0761
3,"2,3,4'-Trihydroxy-4-Methoxybenzophenone",C14H12O5,No CAS#, YYQLEVUVEAKBKB-UHFFFAOYSA-N,COC1=C(C(=C(C=C1)C(=O)C2=CC=C(C=C2)O)O)O,261.0757,278.1023,283.0577,243.0652
3,Ferulic Acid,C10H10O4,1135-24-6,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,195.0652,212.0917,217.0471,177.0546
3,Anisodamine Hydrobromide,C17H23NO4,17659-49-3,WTQYWNWRJNXDEG-UHFFFAOYSA-N ,CN1C2CC(CC1C(C2)O)OC(=O)C(CO)C3=CC=CC=C3 ,306.17,323.1965,328.1519,288.1594
3,Beta-Peltatin,C22H22O8,518-29-6,HLBPOYVRLSXWJJ-PDSMFRHLSA-N,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=C(C5=C(C=C24)OCO5)O)COC3=O,415.1387,432.1653,437.1207,397.1282
3,Hecogenin,C27H42O4,467-55-0,QOLRLLFJMZLYQJ-LOBDNJQFSA-N,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(C(=O)C[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,431.3156,448.3421,453.2975,413.305
3,Camptothecin,C20H16N2O4,3/4/89,VSJKWCGYPAHWDS-FQEVSTJZSA-N,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,349.1183,366.1448,371.1002,331.1077
3,Asarylaldehyde,C10H12O4,4460-86-0,IAJBQAYHSQIQRE-UHFFFAOYSA-N,COC1=CC(=C(C=C1C=O)OC)OC,197.0808,214.1074,219.0628,179.0703
3,Strophanthidin,C23H32O6,66-28-4,ODJLBQGVINUMMR-HZXDTFASSA-N,C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O,405.2272,422.2537,427.2091,387.2166
3,ESTRADIOL,C18H24O2,50-28-2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,273.1849,290.2115,295.1668,255.1743
3,Ajmaline,C20H26N2O2,12/7/60,CJDRUOGAGYHKKD-RQBLFBSQSA-N,CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C,327.2067,344.2333,349.1886,309.1961
3,"3Alpha-Hydroxy-4,4-Bisnor-8,11,13-Podocarpatriene",C15H20O,No CAS#,MVNJNWNFUCRWBW-NFAWXSAZSA-N,C[C@]12CC[C@H](C[C@H]1CCC3=CC=CC=C23)O,217.1587,234.1852,239.1406,199.1481
3,"Heteropeucenin, Methyl Ether",C16H18O4,26213-95-6,KVNRDSLYCOJCRD-UHFFFAOYSA-N,CC1=CC(=O)C2=C(O1)C(=C(C=C2O)OC)CC=C(C)C,275.1278,292.1543,297.1097,257.1172
3,Juglone,C10H6O3,481-39-0,KQPYUDDGWXQXHS-UHFFFAOYSA-N,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,175.039,192.0655,197.0209,157.0284
3,Ellagic Acid,C14H6O8,476-66-4,AFSDNFLWKVMVRB-UHFFFAOYSA-N,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,303.0135,320.0401,324.9955,285.003
3,Griseofulvic Acid,C16H15ClO6,469-54-5,YIQRSAKVWZVLDN-QZTNRIJFSA-N,C[C@@H]1CC(=O)CC(=O)[C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl,339.063,356.0895,361.0449,321.0524
4,LEVODOPA,C9H11NO4,59-92-7,WTDRDQBEARUVNC-LURJTMIESA-N,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,198.0761,215.1026,220.058,180.0655
4,Vulpinic Acid,C19H14O5,521-52-8,OMZRMXULWNMRAE-BMRADRMJSA-N,COC(=O)/C(=C/1\C(=C(C(=O)O1)C2=CC=CC=C2)O)/C3=CC=CC=C3,323.0914,340.1179,345.0733,305.0808
4,Dehydroabietamide,C20H29NO,No CAS#,AKKQGFKWEDCWJK-UHFFFAOYSA-N,CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C(=O)N)C,300.2322,317.2587,322.2141,282.2216
4,Euparin,C13H12O3,532-48-9,OPUFDNZTKHPZHM-UHFFFAOYSA-N,CC(=C)C1=CC2=CC(=C(C=C2O1)O)C(=O)C,217.0859,234.1125,239.0679,199.0754
4,Sappanone A Dimethyl Ether,C18H16O5,No CAS#,VCNDHJFYRZQMHX-KPKJPENVSA-N ,COC1=CC2=C(C=C1)C(=O)/C(=C/C3=CC(=C(C=C3)OC)O)/CO2,313.1071,330.1336,335.089,295.0965
4,"Deoxysappanone B 7,3'-Dimethyl Ether",C18H18O5,No CAS#,OFAYBXSZQCUARK-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C(=O)C(CO2)CC3=CC(=C(C=C3)O)OC,315.1227,332.1492,337.1046,297.1121
4,Gitoxigenin Diacetate,C27H38O7,3/2/96,ANNNOIZFDGPVNC-UZGQUCAOSA-N,CC(=O)O[C@H]1CC[C@]2([C@@H](C1)CCC3C2CC[C@]4([C@@]3(C[C@@H]([C@@H]4C5=CC(=O)OC5)OC(=O)C)O)C)C,475.269,492.2956,497.251,457.2585
4,Obtusaquinone,C16H14O3,21105-15-7,LUZUAYAKZLCOCQ-BHHNFLQBSA-N,COC\1=CC(=O)C(=C/C1=C\C=C\C2=CC=CC=C2)O,255.1016,272.1281,277.0835,237.091
4,Anhydrobrazilic Acid,C12H10O5,No CAS#,KVQVEJPIQHNLTM-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C(=O)C(=CO2)CC(=O)O,235.0601,252.0866,257.042,217.0495
4,"2,6-Dihydroxy-4-Methoxytoluene",C8H10O3,No CAS#,YPIDZFLQKNEKRA-UHFFFAOYSA-N,CC1=C(C=C(C=C1O)OC)O,155.0703,172.0968,177.0522,137.0597
4,Iridin,C24H26O13,491-74-7,LNQCUTNLHUQZLR-OZJWLQQPSA-N,COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,523.1446,540.1712,545.1266,505.1341
4,"Epiafzelechin (2R,3R)(-)",C15H14O5,24808-04-6,RSYUFYQTACJFML-UKRRQHHQSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,275.0914,292.1179,297.0733,257.0808
4,"Isotectorigenin, 7-Methyl Ether",C18H16O6,No CAS#,WVKDAMAQNQRJFP-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C(=CC(=C3OC)OC)O,329.102,346.1285,351.0839,311.0914
4,Epiafzelechin Trimethyl Ether,C18H20O5,No CAS#,NMLBREXWQRPOJH-CRAIPNDOSA-N  ,COC1=CC=C(C=C1)[C@@H]2[C@@H](CC3=C(O2)C=C(C=C3OC)OC)O,317.1384,334.1649,339.1203,299.1278
4,"1,7-Dideacetoxy-1,7-Dioxo-3-Deacetylkhivorin",C26H32O7,No CAS#,BSZLLSHGSWKZRE-IYLQSFRJSA-N,C[C@@]12CCC3[C@@]4(C(CC(=O)[C@]3([C@@]15[C@H](O5)C(=O)O[C@H]2C6=COC=C6)C)C([C@@H](CC4=O)O)(C)C)C,457.2221,474.2486,479.204,439.2115
4,Antiarol,C9H12O4,642-71-7,VTCDZPUMZAZMSB-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)OC)O,185.0808,202.1074,207.0628,167.0703
4,"2,3-Dihydroxy-4-Methoxy-4'-Ethoxybenzophenone",C16H16O5,No CAS#, NTAHJPYHXKMYBL-UHFFFAOYSA-N,CCOC1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)OC)O)O,289.1071,306.1336,311.089,271.0965
4,"Irigenin, 7-Benzyl Ether",C25H22O8,No CAS#,WSKWDXWDFFVUKX-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)OCC4=CC=CC=C4,451.1387,468.1653,473.1207,433.1282
4,Mundulone,C26H26O6,481-94-7,KJTDZAHLWHEULN-UHFFFAOYSA-N,CC1(C=CC2=C(O1)C=CC(=C2OC)C3=COC4=C(C3=O)C=C5CC(C(OC5=C4)(C)C)O)C,435.1802,452.2068,457.1622,417.1697
4,Isokobusone,C14H22O2,24173-72-6,BSFUDCIRZBAPDS-UHFFFAOYSA-N,CC1(CC2C1CCC(=C)C(CCC2=O)O)C,223.1693,240.1958,245.1512,205.1587
4,Iretol,C7H8O4,No CAS#,ASTPOGDWGNJVEW-UHFFFAOYSA-N,COC1=C(C=C(C=C1O)O)O,157.0495,174.0761,179.0315,139.039
4,Methylxanthoxylin,C11H14O4,23121-32-6,AAOFJKLTRKOQTQ-UHFFFAOYSA-N,CC1=C(C(=C(C=C1OC)OC)C(=O)C)O,211.0965,228.123,233.0784,193.0859
4,3-Methylorsellinic Acid,C9H10O4,4707-46-4,VHNLJRRECIZZPX-UHFFFAOYSA-N,CC1=CC(=C(C(=C1C(=O)O)O)C)O,183.0652,200.0917,205.0471,165.0546
4,Diosgenin,C27H42O3,512-04-9,WQLVFSAGQJTQCK-VKROHFNGSA-N,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,415.3207,432.3472,437.3026,397.3101
4,Orsellinic Acid,C8H8O4,480-64-8,AMKYESDOVDKZKV-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)O)O)O,169.0495,186.0761,191.0315,151.039
4,Haematoxylin,C16H14O6,517-28-2,WZUVPPKBWHMQCE-XJKSGUPXSA-N,C1C2=CC(=C(C=C2[C@H]3[C@@]1(COC4=C3C=CC(=C4O)O)O)O)O,303.0863,320.1129,325.0683,285.0757
4,Gramine,C11H14N2,87-52-5,OCDGBSUVYYVKQZ-UHFFFAOYSA-N,CN(C)CC1=CNC2=CC=CC=C21,175.123,192.1495,197.1049,157.1124
4,DUARTIN (-),C18H20O6,101311-04-0,QVVPJFBYFYYVDM-NSHDSACASA-N,COC1=C(C(=C(C=C1)[C@H]2CC3=C(C(=C(C=C3)O)OC)OC2)OC)O,333.1333,350.1598,355.1152,315.1227
4,Larixol Acetate,C22H36O3,No CAS#,WCNCDVQMEQJFGH-ZZVYCOLKSA-N,O=C(OC1CC(=C)C(CCC(O)(C=C)C)C2(C)CCCC(C)(C)C12)C,349.2737,366.3003,371.2557,331.2632
4,Apotoxicarol,C18H14O7,No CAS#,OYRKSWWBFPVHGY-UHFFFAOYSA-N ,COC1=C(C=C2C(=C1)C3=C(CO2)OC4=CC(=CC(=C4C3=O)O)O)OC,343.0812,360.1078,365.0632,325.0707
4,Lanatoside C,C49H76O20,17575-22-3,JAYAGJDXJIDEKI-PTGWOZRBSA-N,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3C[C@H]([C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)O)C)O)O[C@H]7C[C@@H]([C@@H]([C@H](O7)C)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)OC(=O)C)O,985.5003,1002.5268,1007.4822,967.4897
4,Fumarprotocetraric Acid,C22H16O12,489-50-9,VEGGRTFDFMUBPD-ONEGZZNKSA-N,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C(C(=C3COC(=O)/C=C/C(=O)O)O)C(=O)O)C)C=O)O,473.0715,490.098,495.0534,455.0609
4,Gangaleoidin,C18H14Cl2O7,55365-63-4,RPHAAJGBADUATP-UHFFFAOYSA-N,CC1=C2C(=C(C(=C1Cl)O)Cl)OC3=C(C(=C(C=C3OC2=O)OC)C(=O)OC)C,413.0189,430.0455,435.0009,395.0084
4,ANGOLENSIN (R),C16H16O4,4842-48-2,CCOJFDRSZSSKOG-SNVBAGLBSA-N  ,C[C@H](C1=CC=C(C=C1)OC)C(=O)C2=C(C=C(C=C2)O)O,273.1121,290.1387,295.0941,255.1016
4,Lecanoric Acid,C16H14O7,480-56-8,HEMSJKZDHNSSEW-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)C)C(=O)O)O)O)O,319.0812,336.1078,341.0632,301.0707
4,Theaflavin,C29H24O12,5/7/70,IPMYMEWFZKHGAX-ZKSIBHASSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O,565.1341,582.1606,587.116,547.1235
4,2-Methyl Gramine,C12H16N2,No CAS#,AJNMXMZCRHTBEH-UHFFFAOYSA-N,CC1=C(C2=CC=CC=C2N1)CN(C)C,189.1386,206.1652,211.1206,171.1281
4,Stictic Acid,C19H14O9,549-06-4,SKCUFZLDTAYNBZ-UHFFFAOYSA-N,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)OC,387.0711,404.0976,409.053,369.0605
4,Brazilin,C16H14O5,474-07-7,UWHUTZOCTZJUKC-JKSUJKDBSA-N,C1C2=CC(=C(C=C2[C@H]3[C@@]1(COC4=C3C=CC(=C4)O)O)O)O,287.0914,304.1179,309.0733,269.0808
4,Piscidic Acid,C11H12O7,35388-57-9,TUODPMGCCJSJRH-LDYMZIIASA-N  ,C1=CC(=CC=C1C[C@@]([C@@H](C(=O)O)O)(C(=O)O)O)O,257.0656,274.0921,279.0475,239.055
5,Juarezic Acid,C11H10O2,1552-94-9,FEIQOMCWGDNMHM-KBXRYBNXSA-N,C1=CC=C(C=C1)/C=C/C=C/C(=O)O,175.0754,192.1019,197.0573,157.0648
5,Bixin,C25H30O4,39937-23-0,RAFGELQLHMBRHD-IFNPSABLSA-N,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)OC)/C=C/C=C(\C)/C=C/C(=O)O,395.2217,412.2482,417.2036,377.2111
5,N-Methylanthranilic Acid,C8H9NO2,119-68-6,WVMBPWMAQDVZCM-UHFFFAOYSA-N,CNC1=CC=CC=C1C(=O)O,152.0706,169.0972,174.0525,134.06
5,Melatonin,C13H16N2O2,73-31-4,DRLFMBDRBRZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,233.1285,250.155,255.1104,215.1179
5,Anabasine Hydrochloride,C10H14N2,13078-04-1,MTXSIJUGVMTTMU-UHFFFAOYSA-N,C1CCNC(C1)C2=CN=CC=C2,163.123,180.1495,185.1049,145.1124
5,Solidagenone,C20H28O3,23534-56-7,XDYGCIOWNPNVIH-UHFFFAOYSA-N,CC1=CC(=O)C2C(CCCC2(C1(CCC3=COC=C3)O)C)(C)C,317.2111,334.2377,339.1931,299.2006
5,Chrysanthemyl Alcohol,C10H18O,5617-92-5,HIPIENNKVJCMAP-UHFFFAOYSA-N,CC(=CC1C(C1(C)C)CO)C,155.143,172.1696,177.125,137.1325
5,Agelasine (Stereochemistry Of Diterpene Unknown),C26H40N5+,No CAS#,KYYRJIBWNZAJDQ-XGBZQHFCSA-N,C/C(=C\CN1C=[N+](C2=NC=NC(=C21)N)C)/CC[C@H]3C(=C)CC[C@@H]4[C@@]3(CCCC4(C)C)C,423.3356,440.3622,445.3176,405.3251
5,Quercitrin,C21H20O11,522-12-3,OXGUCUVFOIWWQJ-HQBVPOQASA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,449.1078,466.1344,471.0898,431.0973
5,Acacetin,C16H12O5,480-44-4,DANYIYRPLHHOCZ-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,285.0757,302.1023,307.0577,267.0652
5,Quercetin,C15H10O7,117-39-5,REFJWTPEDVJJIY-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,303.0499,320.0765,325.0319,285.0394
5,"6,4'-Dihydroxyflavone",C15H10O4,63046-09-3,FFULTBKXWHYHFQ-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=CC(=C3)O)O,255.0652,272.0917,277.0471,237.0546
5,Genistein,C15H10O5,446-72-0,TZBJGXHYKVUXJN-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,271.0601,288.0866,293.042,253.0495
5,Apiin,C26H28O14,26544-34-3,NTDLXWMIWOECHG-YRCFQSNFSA-N,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O,565.1552,582.1817,587.1371,547.1446
5,Epicatechin,C15H14O6,490-46-0,PFTAWBLQPZVEMU-UKRRQHHQSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,291.0863,308.1129,313.0683,273.0757
5,Gedunol,C28H36O7,No CAS#,IYGKIJUHLXBVCF-AJIQNVKKSA-N,CC(=O)O[C@@H]1CC2[C@](C=C[C@H](C2(C)C)O)(C3[C@@]1(C45C(O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)C,485.2534,502.2799,507.2353,467.2428
5,Epigallocatechin-3-Monogallate,C22H18O11,989-51-5,WMBWREPUVVBILR-WIYYLYMNSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,459.0922,476.1187,481.0741,441.0816
5,Paeonol,C9H10O3,552-41-0,UILPJVPSNHJFIK-UHFFFAOYSA-N,CC(=O)C1=C(C=C(C=C1)OC)O,167.0703,184.0968,189.0522,149.0597
5,Haematommic Acid,C9H8O5,No CAS#,KCOOTJRKKIDHTM-UHFFFAOYSA-N,CC1=CC(=C(C(=C1C(=O)O)O)C=O)O,197.0444,214.071,219.0264,179.0339
5,Larixol,C20H34O2,No CAS#,CLGDBTZPPRVUII-USQYZIDUSA-N,CC1(CCCC2(C1[C@H](CC(=C)C2CC[C@@](C)(C=C)O)O)C)C,307.2632,324.2897,329.2451,289.2526
5,3Beta-Hydroxydeoxodihydrodeoxygedunin,C28H38O6,No CAS#,FJIIOEQLAAKWEL-VISHRWGOSA-N,CC(=O)O[C@@H]1CC2C([C@H](CCC2(C3C1(C4=CC(=O)O[C@H]([C@@]4(CC3)C)C5=COC=C5)C)C)O)(C)C,471.2741,488.3007,493.2561,453.2636
5,"Desacetyl (7)Khivorinic Acid, Methyl Ester",C28H40O10,No CAS#,HJESSLHNQMBHEX-LSIGHCQTSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3([C@@H](C2)O)C)O5)C(=O)OC)C)C)(C)C)OC(=O)C,537.2694,554.296,559.2514,519.2589
5,Gibberellic Acid,C19H22O6,77-06-5,IXORZMNAPKEEDV-OBDJNFEBSA-N,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,347.1489,364.1755,369.1309,329.1384
5,4-Methylesculetin,C10H8O4,No CAS#,KVOJTUXGYQVLAJ-UHFFFAOYSA-N,CC1=CC(=O)OC2=CC(=C(C=C12)O)O,193.0495,210.0761,215.0315,175.039
5,"Epigallocatechin 3,5-Digallate",C29H22O15,No CAS#,RKUDRJTZBDEGNP-YIXXDRMTSA-N,C1[C@H]([C@H](OC2=C1C(=CC(=C2)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O,611.1031,628.1297,633.0851,593.0926
5,Phloridzin,C21H24O10,60-81-1,IOUVKUPGCMBWBT-QNDFHXLGSA-N,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,437.1442,454.1708,459.1262,419.1337
5,Everninic Acid,C9H10O4,570-10-5,QUCZMUVAQHIOID-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)O)O)OC,183.0652,200.0917,205.0471,165.0546
5,"2',2'-Bisepigallocatechin Digallate",C44H34O22,No CAS#,YUULFXAQUWEYNP-UHFFFAOYSA-N,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,915.1614,932.188,937.1434,897.1509
5,Arbutin,C12H16O7,497-76-7,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,273.0969,290.1234,295.0788,255.0863
5,Phloretin,C15H14O5,60-82-2,VGEREEWJJVICBM-UHFFFAOYSA-N,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,275.0914,292.1179,297.0733,257.0808
5,Epicatechin Monogallate,C22H18O10,1257-08-5,LSHVYAFMTMFKBA-TZIWHRDSSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,443.0973,460.1238,465.0792,425.0867
5,Chrysarobin,C15H12O3,491-58-7,ZZBWSNKBZKPGAK-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2)C=CC=C3O,241.0859,258.1125,263.0679,223.0754
5,Phloracetophenone,C8H8O4,480-66-0,XLEYFDVVXLMULC-UHFFFAOYSA-N,CC(=O)C1=C(C=C(C=C1O)O)O,169.0495,186.0761,191.0315,151.039
5,Mevastatin,C23H34O5,73573-88-3,AJLFOPYRIVGYMJ-INTXDZFKSA-N,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,391.2479,408.2744,413.2298,373.2373
5,ESTRIOL,C18H24O3,50-27-1,PROQIPRRNZUXQM-ZXXIGWHRSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,289.1798,306.2064,311.1618,271.1693
5,Tetrahydrosappanone A Trimethyl Ether,C19H22O5,No CAS#,KXFFLWDYUNIJNU-BFUOFWGJSA-N,COC1=CC2=C(C=C1)[C@@H]([C@@H](CO2)CC3=CC(=C(C=C3)OC)OC)O,331.154,348.1805,353.1359,313.1434
5,Larixinic Acid,C6H6O3,118-71-8,XPCTZQVDEJYUGT-UHFFFAOYSA-N,CC1=C(C(=O)C=CO1)O,127.039,144.0655,149.0209,109.0284
5,Leoidin,C18H14Cl2O7,105350-54-7,RCLFRVZNHRFQGE-UHFFFAOYSA-N,CC1=C2C(=C(C(=C1Cl)O)Cl)OC3=C(C(=C(C(=C3C)C(=O)OC)O)C)OC2=O,413.0189,430.0455,435.0009,395.0084
5,Cadin-4-En-10-Ol,C15H26O,No CAS#, LHYHMMRYTDARSZ-UHFFFAOYSA-N ,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,223.2056,240.2322,245.1876,205.1951
5,"2-Hydroxy-3,4-Dimethoxybenzoic Acid",C9H10O5,No CAS#, CJFQIVAOBBTJCI-UHFFFAOYSA-N,COC1=C(C(=C(C=C1)C(=O)O)O)OC,199.0601,216.0866,221.042,181.0495
6,Hematein,C16H12O6,475-25-2,HNNSUZPWERIYIL-UHFFFAOYSA-N,C1C2=CC(=C(C=C2C3=C4C=CC(=O)C(=C4OCC31O)O)O)O,301.0707,318.0972,323.0526,283.0601
6,Harmol Hydrochloride,C12H10N2O,40580-83-4 [HCl],LBBJNGFCXDOYMQ-UHFFFAOYSA-N  ,CC1=C2C(=C3C=CC(=O)C=C3N2)C=CN1,199.0866,216.1131,221.0685,181.076
6,Aloin,C21H22O9,5133-19-7,AFHJQYHRLPMKHU-WEZNYRQKSA-N,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,419.1337,436.1602,441.1156,401.1231
6,Harmaline,C13H14N2O,304-21-2,RERZNCLIYCABFS-UHFFFAOYSA-N,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,215.1179,232.1444,237.0998,197.1073
6,4-Hydroxy-6-Methylpyran-2-One,C6H6O3,675-10-5,NSYSSMYQPLSPOD-UHFFFAOYSA-N,CC1=CC(=CC(=O)O1)O,127.039,144.0655,149.0209,109.0284
